*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=bus2x2
*Date=22:48:30
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;47.4838;-25.5915;0;Bottom;Via95
2;;;56.3741;-60.5163;0;Bottom;Via54
3;;THT;81.7739;-45.2764;-90;Bottom;J18
4;;;20.8141;-12.8913;0;Bottom;Via68
5;;;85.5838;-20.5115;0;Bottom;Via85
6;;;66.5341;-50.3563;0;Bottom;Via42
7;;;10.6541;-23.0513;0;Bottom;Via92
8;;;81.7493;-41.102;0;Bottom;TXT1
9;;;95.744;-3.36636;0;Bottom;Hole11
10;;THT;17.0039;-5.27145;90;Bottom;J31
11;;;32.2438;-10.3515;0;Bottom;Via75
12;;;60.2538;-1.03125;0;Bottom;TXT1
13;;;32.2438;-50.3565;0;Bottom;Via43
14;;;88.1238;-23.0515;0;Bottom;Via89
15;;THT;38.5939;-45.2764;-90;Bottom;J20
16;;;81.815;-32.584;180;Bottom;TXT1
17;;;17.0001;-72.5232;180;Bottom;TXT1
18;;;42.4038;-20.5115;0;Bottom;Via87
19;;;92.2671;-16.6762;-90;Bottom;TXT1
20;;THT;60.1839;-28.1314;90;Bottom;J33
21;;;8.11407;-25.5913;0;Bottom;Via96
22;;;61.4541;-55.4363;0;Bottom;Via46
23;;;10.6541;-63.0563;0;Bottom;Via60
24;;;80.5038;-55.4365;0;Bottom;Via45
25;;;29.7038;-47.8165;0;Bottom;Via39
26;;;95.744;-43.3714;0;Bottom;Hole7
27;;;75.4238;-50.3565;0;Bottom;Via41
28;;;18.2741;-55.4363;0;Bottom;Via48
29;;;34.7838;-12.8915;0;Bottom;Via67
30;;;44.9438;-23.0515;0;Bottom;Via91
31;;;8.11407;-65.5963;0;Bottom;Via64
32;;THT;17.0039;-45.2764;90;Bottom;J21
33;;THT;3.03389;-16.7014;180;Bottom;J37
34;;THT;81.7739;-28.1314;-90;Bottom;J32
35;;;83.0438;-57.9765;0;Bottom;Via49
36;;;38.4956;-41.102;0;Bottom;TXT1
37;;;25.8941;-47.8163;0;Bottom;Via40
38;;;69.0741;-47.8163;0;Bottom;Via38
39;;;38.6271;-32.5182;180;Bottom;TXT1
40;;;51.2941;-25.5913;0;Bottom;Via94
41;;;13.1941;-60.5163;0;Bottom;Via56
42;;;90.6638;-65.5965;0;Bottom;Via61
43;;;17.0001;-41.0363;0;Bottom;TXT1
44;;THT;38.5939;-68.1364;-90;Bottom;J24
45;;;44.9438;-63.0565;0;Bottom;Via59
46;;THT;95.7439;-16.7014;180;Bottom;J36
47;;;53.8341;-63.0563;0;Bottom;Via58
48;;;18.2741;-15.4313;0;Bottom;Via80
49;;;56.3741;-20.5113;0;Bottom;Via86
50;;;83.0438;-17.9715;0;Bottom;Via81
51;;;77.9638;-12.8915;0;Bottom;Via65
52;;;3.03397;-30.0364;0;Bottom;Hole9
53;;;80.5038;-15.4315;0;Bottom;Via77
54;;THT;60.1839;-5.27145;90;Bottom;J29
55;;;51.2941;-65.5963;0;Bottom;Via62
56;;;29.7038;-7.81155;0;Bottom;Via71
57;;;58.9141;-57.9763;0;Bottom;Via50
58;;;61.4541;-15.4313;0;Bottom;Via78
59;;;3.03397;-70.0414;0;Bottom;Hole6
60;;;39.8638;-57.9765;0;Bottom;Via51
61;;;17.0001;-1.03125;0;Bottom;TXT1
62;;THT;3.03389;-56.7064;180;Bottom;J27
63;;THT;38.5939;-5.27145;-90;Bottom;J30
64;;;75.4238;-10.3515;0;Bottom;Via73
65;;;39.8638;-17.9715;0;Bottom;Via83
66;;;23.3541;-10.3513;0;Bottom;Via76
67;;;95.744;-30.0364;0;Bottom;Hole12
68;;;63.9941;-52.8963;0;Bottom;Via34
69;;;81.815;-72.589;180;Bottom;TXT1
70;;;95.744;-70.0414;0;Bottom;Hole8
71;;;60.1881;-72.589;180;Bottom;TXT1
72;;;6.48258;-16.6762;90;Bottom;TXT1
73;;;25.8941;-7.81126;0;Bottom;Via72
74;;;38.6271;-72.5232;180;Bottom;TXT1
75;;;72.8838;-47.8165;0;Bottom;Via37
76;;THT;17.0039;-68.1364;90;Bottom;J25
77;;;47.4838;-65.5965;0;Bottom;Via63
78;;;15.7341;-57.9763;0;Bottom;Via52
79;;;3.03397;-3.36636;0;Bottom;Hole10
80;;;81.7493;-1.09701;0;Bottom;TXT1
81;;;90.6638;-25.5915;0;Bottom;Via93
82;;;66.5341;-10.3513;0;Bottom;Via74
83;;;42.4038;-60.5165;0;Bottom;Via55
84;;THT;17.0039;-28.1314;90;Bottom;J35
85;;;88.1238;-63.0565;0;Bottom;Via57
86;;;15.7341;-17.9713;0;Bottom;Via84
87;;;37.3238;-15.4315;0;Bottom;Via79
88;;;23.3541;-50.3563;0;Bottom;Via44
89;;;13.1941;-20.5113;0;Bottom;Via88
90;;;34.7838;-52.8965;0;Bottom;Via35
91;;;92.2671;-56.6812;-90;Bottom;TXT1
92;;;17.0001;-32.5182;180;Bottom;TXT1
93;;;60.1881;-32.584;180;Bottom;TXT1
94;;;60.2538;-41.0363;0;Bottom;TXT1
95;;THT;60.1839;-68.1364;90;Bottom;J23
96;;;72.8838;-7.81155;0;Bottom;Via69
97;;THT;60.1839;-45.2764;90;Bottom;J19
98;;;58.9141;-17.9713;0;Bottom;Via82
99;;THT;81.7739;-68.1364;-90;Bottom;J22
100;;;53.8341;-23.0513;0;Bottom;Via90
101;;;37.3238;-55.4365;0;Bottom;Via47
102;;;63.9941;-12.8913;0;Bottom;Via66
103;;THT;81.7739;-5.27145;-90;Bottom;J28
104;;THT;38.5939;-28.1314;-90;Bottom;J34
105;;;69.0741;-7.81126;0;Bottom;Via70
106;;;3.03397;-43.3714;0;Bottom;Hole5
107;;;6.48258;-56.6812;90;Bottom;TXT1
108;;;77.9638;-52.8965;0;Bottom;Via33
109;;;85.5838;-60.5165;0;Bottom;Via53
110;;;20.8141;-52.8963;0;Bottom;Via36
111;;;38.4956;-1.09701;0;Bottom;TXT1
112;;THT;95.7439;-56.7064;180;Bottom;J26
