*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=decoder_10x10cm
*Date=17:36:34
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;97.6128;-36.1082;0;Bottom;J12
2;;THT;43.0025;-22.0635;0;Bottom;AL
3;220;1206 [SMD];68.4026;-19.2436;-90;Top;R4
4;;THT;89.3575;-22.0635;0;Bottom;AH
5;;;33.4777;-69.7633;0;Bottom;Via108
6;;;64.5927;-87.5433;0;Bottom;Via100
7;220;1206 [SMD];25.2226;-19.2436;-90;Top;R13
8;;1206 [SMD];32.8426;-13.5286;-90;Top;LED10
9;;;70.9427;-10.0733;0;Bottom;Via57
10;;;60.7827;-10.0733;0;Bottom;Via53
11;;;76.0227;-10.0733;0;Bottom;Via59
12;;1206 [SMD];73.4826;-13.5286;-90;Top;LED2
13;;;86.8177;-37.3783;0;Bottom;Via33
14;;;72.2127;-44.9983;0;Bottom;Via115
15;;;49.3527;-29.1233;0;Bottom;Via126
16;;THT;24.5878;-51.9832;-90;Bottom;J17
17;;;95.1888;-39.1656;0;Bottom;TXT1
18;;;58.2427;-10.0733;0;Bottom;Via52
19;;THT;31.5728;-3.08825;-90;Bottom;J7
20;;;59.5127;-91.3533;0;Bottom;Via98
21;;;43.0027;-29.1233;0;Bottom;Via127
22;;1206 [SMD];20.1426;-13.6036;-90;Top;LED15
23;;;79.1974;-20.7936;0;Bottom;Via124
24;;;68.4027;-10.0733;0;Bottom;Via56
25;;;64.5927;-64.0483;0;Bottom;Via30
26;220;1206 [SMD];17.6026;-19.3186;-90;Top;R16
27;;;3.63276;-3.08826;0;Bottom;Hole7
28;;;32.8427;-10.0733;0;Bottom;Via50
29;;1206 [SMD];70.9426;-13.5286;-90;Top;LED3
30;;;11.8877;-64.0483;0;Bottom;Via122
31;;;65.8627;-10.0733;0;Bottom;Via55
32;;;17.6027;-10.0733;0;Bottom;Via44
33;;1206 [SMD];25.2226;-13.5286;-90;Top;LED13
