*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=io-decoder_10x10cm
*Date=17:37:17
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;1206 [SMD];32.3021;-12.2581;-90;Top;LED23
2;;;45.0022;-8.72785;0;Bottom;Via75
3;220;1206 [SMD];45.0021;-17.8981;-90;Top;R18
4;;;31.0319;-51.3481;0;Bottom;Via12
5;;1206 [SMD];22.1421;-12.2581;-90;Top;LED27
6;;;80.5619;-46.9032;0;Bottom;Via93
7;220;1206 [SMD];69.7671;-17.9731;-90;Top;R9
8;;;28.5391;-6.5598;0;Bottom;TXT4
9;;;27.2222;-8.72785;0;Bottom;Via68
10;;;10.0769;-39.9182;0;Bottom;Via78
11;220;1206 [SMD];27.2221;-17.8981;-90;Top;R25
12;;;14.5219;-58.3331;0;Bottom;Via35
13;;DIP (Dual Inline) [THT];15.792;-67.2231;0;Bottom;74LS139
14;100nF;100 mil [THT, multilayer];88.1772;-33.5681;0;Bottom;C1
15;220;1206 [SMD];85.0071;-17.9731;-90;Top;R3
16;;;20.8719;-83.7331;0;Bottom;Via39
17;;1206 [SMD];87.5471;-12.2581;-90;Top;LED2
18;220;1206 [SMD];62.1471;-17.9731;-90;Top;R12
19;;;53.2569;-53.8881;0;Bottom;Via18
20;;;89.4519;-78.0181;0;Bottom;Via94
21;;;60.2419;-74.8431;0;Bottom;Via37
22;;;9.44221;-8.72785;0;Bottom;Via61
23;;1206 [SMD];74.8471;-12.3332;-90;Top;LED7
24;;;82.4672;-8.80292;0;Bottom;Via56
25;;;10.0769;-44.9982;0;Bottom;Via9
26;;;31.0319;-53.8881;0;Bottom;Via16
27;;;58.3369;-25.3132;0;Bottom;Via100
28;;DIP (Dual Inline) [THT];15.792;-41.1881;0;Bottom;74LS139
29;220;1206 [SMD];82.4671;-17.9731;-90;Top;R4
30;;;43.0969;-51.3481;0;Bottom;Via21
31;;1206 [SMD];69.7671;-12.2581;-90;Top;LED9
32;;;43.0969;-48.8081;0;Bottom;Via20
33;220;1206 [SMD];64.6871;-17.9731;-90;Top;R11
34;;;21.5069;-73.5731;0;Bottom;Via17
35;;;92.3682;-33.2153;0;Bottom;TXT1
36;;1206 [SMD];45.0021;-12.1831;-90;Top;LED18
37;;;67.2269;-55.7931;0;Bottom;Via2
38;;1206 [SMD];27.2221;-12.1831;-90;Top;LED25
39;;;43.0969;-53.8881;0;Bottom;Via22
40;;;53.2569;-76.1131;0;Bottom;Via24
41;;;17.0622;-8.72785;0;Bottom;Via64
42;;THT;97.707;-55.7931;0;Bottom;J11
43;;;2.95092;-16.0938;-90;Bottom;TXT5
44;;;86.9119;-38.0132;0;Bottom;Via33
45;;;19.6022;-8.72785;0;Bottom;Via65
46;;;11.9822;-8.72785;0;Bottom;Via62
47;220;1206 [SMD];22.1421;-17.9731;-90;Top;R28
