*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=outregdisp_v2-groundfloor
*Date=20:17:08
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;71.1581;-92.3816;0;Bottom;Copper Fill45
2;;;79.6798;-87.7842;0;Bottom;Copper Fill68
3;220;1206 [SMD];72.4466;-50.5058;0;Top;R38
4;;;10.6172;-77.6623;0;Bottom;Copper Fill23
5;;;25.7798;-29.6443;0;Bottom;Via443
6;;;85.217;-46.1282;0;Bottom;Copper Fill151
7;;;18.6269;-96.0666;0;Bottom;Via469
8;;;68.6816;-57.9646;0;Bottom;Copper Fill116
9;;;19.05;-58.1424;0;Bottom;Copper Fill119
10;;;66.8919;-18.904;0;Bottom;Via466
11;;;60.5282;-89.6384;0;Bottom;Copper Fill62
12;;;84.963;-48.3634;0;Bottom;Copper Fill142
13;1?F;100 mil [THT, electrolytic];10.3719;-89.7166;0;Bottom;C3
14;;;6.1976;-87.2254;0;Bottom;Copper Fill66
15;;;58.4656;-36.3614;0;Bottom;Via482
16;;;2.8225;-97.0191;0;Bottom;Hole31
17;220;1206 [SMD];22.2395;-28.5616;0;Top;R82
18;;;11.1553;-36.9651;0;Bottom;Via432
19;;;66.8869;-39.2342;0;Bottom;Via463
20;;;77.2414;-89.2828;0;Bottom;Copper Fill63
21;;;68.5546;-78.3608;0;Bottom;Copper Fill73
22;;TSSOP20;62.7112;-31.3706;0;Top;IC19
23;;;80.0354;-66.5752;0;Bottom;Copper Fill101
24;;;76.794;-69.4104;0;Bottom;Via346
25;;;26.416;-52.656;0;Bottom;Copper Fill134
26;;;58.3787;-64.0539;0;Bottom;Via331
27;;;85.217;-5.4882;0;Bottom;Copper Fill228
28;220;1206 [SMD];72.4466;-25.1058;0;Top;R43
29;;THT;10.6894;-2.40408;-90;Bottom;J63
30;;;36.6014;-33.5679;0;Bottom;Copper Fill256
31;;;31.5484;-74.2266;0;Bottom;Via314
32;;;76.9057;-28.6156;0;Bottom;Via376
33;;;56.5172;-12.8196;0;Bottom;Via406
34;;;96.9376;-20.2333;0;Bottom;Via398
35;;;56.5172;-33.1396;0;Bottom;Via386
36;220;1206 [SMD];72.4466;-42.8858;0;Top;R37
37;;;93.7626;-51.454;0;Bottom;Via371
38;;TSSOP20;62.6959;-51.6956;0;Top;IC18
39;;;17.907;-55.196;0;Bottom;Copper Fill123
40;;;82.7024;-68.8612;0;Bottom;Copper Fill95
41;;;13.2294;-44.9492;0;Bottom;Via475
42;;;9.5377;-36.7302;0;Bottom;Copper Fill249
43;;;12.319;-73.7126;0;Bottom;Copper Fill84
44;;;18.4658;-66.4482;0;Bottom;Copper Fill100
45;;THT;39.5819;-77.3341;0;Bottom;J60
46;;;60.3142;-6.80853;0;Bottom;Via412
47;;;79.1718;-75.7446;0;Bottom;Copper Fill80
48;;;68.1868;-51.9764;0;Bottom;TXT2
49;;;85.1154;-66.5752;0;Bottom;Copper Fill103
50;;;75.7769;-17.3267;0;Bottom;Via394
51;;;69.3166;-35.7142;0;Bottom;Copper Fill170
52;;;39.624;-39.067;0;Bottom;Copper Fill157
53;;;85.9536;-38.686;0;Bottom;Copper Fill158
54;;;25.7798;-48.8353;0;Bottom;Via442
55;;;77.2526;-80.9815;0;Bottom;Via345
56;;THT;4.32054;-60.2409;0;Bottom;J56
57;;;75.8444;-8.6378;0;Bottom;Copper Fill219
58;;;29.972;-66.2958;0;Bottom;Copper Fill110
59;220;1206 [SMD];72.4466;-30.1858;0;Top;R46
60;;THT;85.2359;-26.9001;-90;Bottom;display-7
61;;;10.6172;-16.7023;0;Bottom;Copper Fill29
62;;;15.1344;-2.40417;0;Bottom;Via490
63;;;80.137;-46.1282;0;Bottom;Copper Fill149
64;;;30.5883;-76.6381;0;Bottom;Via313
65;;;58.3946;-46.4076;0;Bottom;Copper Fill148
66;;;15.4519;-44.9492;0;Bottom;Via430
67;;;68.1868;-31.3742;0;Bottom;TXT2
68;;;50.8707;-93.1385;0;Bottom;Via2
69;;;64.77;-35.003;0;Bottom;Copper Fill17
70;;;15.4519;-65.2691;0;Bottom;Via416
71;;;18.5916;-91.3276;0;Bottom;Via473
72;;THT;85.2359;-37.0601;-90;Bottom;display-8
73;;;54.8378;-1.51545;0;Bottom;TXT3
74;;;11.1125;-57.8376;0;Bottom;Copper Fill242
75;;;34.8234;-33.5679;0;Bottom;Copper Fill255
76;;;44.2214;-74.8175;0;Bottom;Copper Fill261
77;220;1206 [SMD];22.2395;-76.8216;0;Top;R20
78;;;63.1952;-48.8079;0;Bottom;Copper Fill39
79;;;19.1008;-44.2232;0;Bottom;Copper Fill155
80;;;84.963;-7.7234;0;Bottom;Copper Fill221
81;;TSSOP20;12.4889;-60.2314;0;Top;IC21
82;;;85.9536;-18.366;0;Bottom;Copper Fill200
83;;;46.2026;-66.9816;0;Bottom;Copper Fill90
84;220;1206 [SMD];72.4466;-22.5658;0;Top;R45
85;;THT;85.2359;-16.7401;-90;Bottom;display-10
86;;THT;85.1241;-67.695;-90;Bottom;display-3
87;220;1206 [SMD];22.2395;-66.6616;0;Top;R65
88;;;69.0372;-68.023;0;Bottom;Copper Fill98
89;;TSSOP20;62.5842;-72.1706;0;Top;IC17
90;;;68.3279;-11.0542;0;Bottom;TXT2
91;;THT;85.2359;-47.2201;-90;Bottom;display-5
92;;;49.4244;-78.2866;0;Bottom;Via487
93;;;17.3569;-92.2566;0;Bottom;Via472
94;;;32.5374;-59.6156;0;Bottom;Copper Fill112
95;220;1206 [SMD];72.3348;-68.4407;0;Top;R28
96;220;1206 [SMD];22.2395;-71.7416;0;Top;R21
97;;;75.8444;-49.2778;0;Bottom;Copper Fill138
98;;TSSOP20;12.4889;-39.9115;0;Top;IC22
99;;;11.1553;-77.6051;0;Bottom;Via307
100;;;64.0294;-17.0092;0;Bottom;Via403
101;;;13.2294;-62.7291;0;Bottom;Via415
102;;;29.6282;-79.2759;0;Bottom;Via311
103;;;75.8444;-28.9578;0;Bottom;Copper Fill178
104;220;1206 [SMD];22.2395;-48.8816;0;Top;R81
105;;;69.3166;-15.4196;0;Bottom;Copper Fill210
106;;;15.5524;-3.99863;0;Bottom;TXT2
107;;TSSOP20;12.4889;-19.5915;0;Top;IC23
