*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PC_v2-groundfill
*Date=14:13:06
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;3.5814;-35.4348;0;Bottom;Copper Fill170
2;;;94.5515;-20.2735;0;Bottom;TXT3
3;;;30.2133;-72.722;0;Bottom;Copper Fill230
4;;THT;81.046;-3.67408;-90;Bottom;VCC4
5;;;25.1659;-58.2842;0;Bottom;Via301
6;;;77.8761;-97.6541;0;Bottom;TXT2
7;;;25.1333;-46.7124;0;Bottom;Copper Fill127
8;;DIP (Dual Inline) [THT];61.996;-51.2991;90;Bottom;74LS161-3
9;;;28.448;-50.7383;0;Bottom;Copper Fill226
10;;;96.5962;-19.5979;0;Bottom;Copper Fill100
11;;;52.2224;-73.5475;0;Bottom;Copper Fill225
12;;;2.94103;-97.0191;0;Bottom;Hole28
13;;;79.6925;-2.8466;0;Bottom;Copper Fill209
14;;;20.0914;-4.9548;0;Bottom;Copper Fill178
15;;DIP (Dual Inline) [THT];61.996;-69.7141;-90;Bottom;74LS173-4
16;;;27.6733;-71.833;0;Bottom;Copper Fill235
17;;THT;97.556;-23.3591;0;Bottom;J52
18;;;53.086;-83.6948;0;Bottom;Copper Fill138
19;;THT;89.301;-23.3591;180;Bottom;flags4
20;;;48.641;-46.2298;0;Bottom;Copper Fill156
21;;;40.4114;-4.9548;0;Bottom;Copper Fill87
22;;;94.5134;-47.5379;0;Bottom;Copper Fill111
23;;;63.2714;-4.9548;0;Bottom;Copper Fill92
24;;;93.6625;-48.3888;0;Bottom;Copper Fill216
25;;;52.2224;-73.5475;0;Bottom;Copper Fill124
26;;;26.8732;-71.0583;0;Bottom;Copper Fill236
27;;;6.5024;-73.5475;0;Bottom;Copper Fill134
28;;;59.436;-79.8848;0;Bottom;Copper Fill3
29;;;30.2459;-44.3142;0;Bottom;Via304
30;;;94.361;-87.9874;0;Bottom;Copper Fill1
31;;;4.0132;-50.7383;0;Bottom;Copper Fill233
32;;;93.7514;-40.6418;0;Bottom;Copper Fill160
33;;THT;2.30604;-78.6041;0;Bottom;LOAD-LOW
34;;;4.8133;-49.9382;0;Bottom;Copper Fill232
35;;;66.4464;-26.9004;0;Bottom;Copper Fill63
36;;;44.2159;-78.6042;0;Bottom;Via293
37;;;27.6352;-60.8348;0;Bottom;Copper Fill23
38;;;17.5514;-4.9548;0;Bottom;Copper Fill80
39;;;17.5514;-4.9548;0;Bottom;Copper Fill177
40;;;78.5114;-4.9548;0;Bottom;Copper Fill193
41;;;72.5932;-71.0583;0;Bottom;Copper Fill222
42;100nF;100 mil [THT, multilayer];27.706;-69.7141;-90;Bottom;C12
43;;;97.4725;-18.7216;0;Bottom;Copper Fill99
44;;;67.564;-8.1806;0;Bottom;Copper Fill77
